Device_ID,Device_Type,Purchase_Date,Age,Manufacturer,Model,Country,Maintenance_Cost,Downtime,Maintenance_Frequency,Failure_Event_Count,Maintenance_Class,Maintenance_Report,Operational_Hours_Est,Expected_Lifespan_Est,MTBF,Cost_Per_Hour,Lifespan_Usage_Ratio,Risk_Class,Risk_Class_Label
MD03939,X-Ray Machine,2013-07-31,12,ScanPro,Model-550,Canada,9416.430918493244,26.13342572594256,2,4,3,abnormal sound caused operational delay; firmware update initiated. sensor replaced system crash,105120,12,26280.0,0.08957791969647302,1.0,Medium Risk,1
MD03647,MRI Scanner,2016-06-21,9,MedEquip,Model-500,Canada,13692.286913295542,6.236315235063158,4,2,2,Routine check completed; circuit failure observed during diagnostics. reviewed logs average severity report,78840,12,39420.0,0.1736718279210495,0.75,Medium Risk,1
MD00904,X-Ray Machine,2023-09-05,2,ImagingTech,Model-100,UK,8858.583827926432,15.638348074778849,5,2,2,circuit failure caused operational delay; firmware update initiated. moderate delay device required inspection,17520,12,8760.0,0.5056269308177187,0.16666666666666666,Medium Risk,1
MD01811,MRI Scanner,2023-09-26,2,ScanPro,Model-100,USA,-988.129833531451,13.117713754793831,3,1,2,voltage spike caused operational delay; software patch initiated. moderate delay average severity report,17520,12,17520.0,-0.056400104653621635,0.16666666666666666,Medium Risk,1
MD04764,MRI Scanner,2014-06-11,11,ScanPro,Model-450,Japan,6014.557508180356,13.970695364188872,4,6,2,data lag caused operational delay; software patch initiated. driver update component review,96360,12,16060.0,0.06241757480469444,0.9166666666666666,Medium Risk,1
MD00667,Defibrillator,2020-04-13,5,CardioSync,Model-450,Japan,10786.80737056139,10.593606817136942,1,2,2,System performance degraded due to overheating; mitigation via software patch. reviewed logs driver update applied,43800,12,21900.0,0.24627414088039704,0.4166666666666667,High Risk,2
MD05475,X-Ray Machine,2020-08-22,5,RescueTech,Model-450,France,17799.550638633384,3.607893882146456,2,2,3,Component recalibration after detecting abnormal sound; functionality restored. sensor replaced sensor replacement,43800,12,21900.0,0.4063824346719951,0.4166666666666667,High Risk,2
MD05487,X-Ray Machine,2013-09-07,12,UltraMed,Model-650,Canada,17637.380704616247,27.98178017767536,1,4,3,System performance degraded due to voltage spike; mitigation via replacement. sensor replaced urgent inspection needed,105120,12,26280.0,0.16778330198455335,1.0,Medium Risk,1
MD01012,Infusion Pump,2023-01-07,2,UltraMed,Model-150,USA,1609.8849370839391,15.772014481305778,3,5,2,System performance degraded due to overheating; mitigation via inspection. reviewed logs moderate delay,17520,12,3504.0,0.09188840965090976,0.16666666666666666,Medium Risk,1
MD02546,Defibrillator,2024-02-14,1,UltraMed,Model-450,USA,7547.040318597876,13.761199645388844,1,1,2,Component inspection after detecting battery wear; functionality restored. reviewed logs moderate delay,8760,12,8760.0,0.861534282944963,0.08333333333333333,Medium Risk,1
MD03324,Infusion Pump,2014-05-02,11,CardioSync,Model-600,UK,479.4822508705904,24.501527539572542,1,2,3,System performance degraded due to battery wear; mitigation via firmware update. sensor replaced urgent inspection needed,96360,12,48180.0,0.004975946978731739,0.9166666666666666,Medium Risk,1
MD05057,PET Scanner,2016-08-26,9,CardioSync,Model-150,USA,5631.034944260646,6.263830636659397,5,0,1,Component inspection after detecting data lag; functionality restored. minor issue low priority fault,78840,12,26280.0,0.07142357869432579,0.75,Low Risk,0
MD04823,CT Scanner,2021-09-29,4,ImagingTech,Model-250,Italy,13414.616900815165,3.7886329791854014,4,2,3,Component software patch after detecting sensor misalignment; functionality restored. reboot failed critical malfunction,35040,12,17520.0,0.3828372403200675,0.3333333333333333,High Risk,2
MD00392,X-Ray Machine,2017-08-09,8,ScanPro,Model-250,Japan,17675.564845048044,15.894785899044557,3,3,2,overheating caused operational delay; system reset initiated. reviewed logs non-critical warning,70080,12,23360.0,0.252219817994407,0.6666666666666666,Medium Risk,1
MD01386,Infusion Pump,2018-03-25,7,RescueTech,Model-150,Italy,13272.64374064596,9.128985291364454,3,2,3,Component recalibration after detecting circuit failure; functionality restored. reboot failed hardware fault,61320,12,30660.0,0.21644885421797067,0.5833333333333334,Medium Risk,1
MD00476,Defibrillator,2013-06-29,12,MedEquip,Model-300,USA,3887.969616562196,1.7293189154911772,5,0,1,Component inspection after detecting circuit failure; functionality restored. log cleaned routine reset,105120,12,26280.0,0.036986012334115255,1.0,Low Risk,0
MD04453,CT Scanner,2013-11-04,12,RescueTech,Model-300,Japan,7139.265750006374,5.371753946351796,4,0,2,battery wear caused operational delay; replacement initiated. reviewed logs component review,105120,12,26280.0,0.06791538955485515,1.0,Low Risk,0
MD03441,Defibrillator,2023-09-29,2,ScanPro,Model-550,Japan,23382.11936178163,16.230507668931413,3,2,3,software crash caused operational delay; system reset initiated. reboot failed urgent inspection needed,17520,12,8760.0,1.3345958539829699,0.16666666666666666,High Risk,2
MD03729,Infusion Pump,2018-06-21,7,CardioSync,Model-200,Canada,14579.870297823356,9.367379681290515,1,1,2,System performance degraded due to data lag; mitigation via component upgrade. reviewed logs moderate delay,61320,12,61320.0,0.23776696506561246,0.5833333333333334,Medium Risk,1
MD03242,X-Ray Machine,2022-10-27,3,ImagingTech,Model-550,Italy,14122.53960868521,12.137169525004254,2,1,2,Component software patch after detecting circuit failure; functionality restored. reviewed logs component review,26280,12,26280.0,0.5373873519286609,0.25,Medium Risk,1
MD00598,Infusion Pump,2020-06-11,5,ScanPro,Model-500,Canada,10806.806883605968,16.340082448291852,5,2,2,Routine check completed; software crash observed during diagnostics. moderate delay device required inspection,43800,12,21900.0,0.24673075076725956,0.4166666666666667,High Risk,2
MD04924,MRI Scanner,2021-12-25,4,MedEquip,Model-350,Japan,11275.611568155096,17.616192761190778,3,4,2,System performance degraded due to circuit failure; mitigation via replacement. component issue component review,35040,12,8760.0,0.32179256758433494,0.3333333333333333,High Risk,2
MD02895,Defibrillator,2019-04-04,6,RescueTech,Model-100,France,4613.708818893963,6.496277437408748,3,0,1,System performance degraded due to sensor misalignment; mitigation via inspection. quick fix low priority fault,52560,12,26280.0,0.08777984815247267,0.5,Low Risk,0
MD00664,MRI Scanner,2015-05-19,10,CardioSync,Model-100,UK,4115.328898224283,16.981020407385138,4,1,2,Routine check completed; overheating observed during diagnostics. moderate delay device required inspection,87600,12,87600.0,0.046978640390688164,0.8333333333333334,Medium Risk,1
MD02811,PET Scanner,2020-02-11,5,ImagingTech,Model-350,UK,8995.510776166788,1.6761729444733229,5,0,1,Routine check completed; abnormal sound observed during diagnostics. software reset temporary glitch,43800,12,26280.0,0.20537695835997233,0.4166666666666667,Low Risk,0
MD04510,CT Scanner,2016-06-19,9,RescueTech,Model-600,UK,22342.03101723602,5.037308038888384,1,2,3,Component recalibration after detecting abnormal sound; functionality restored. reboot failed system crash,78840,12,39420.0,0.28338446242054816,0.75,Medium Risk,1
MD04926,Infusion Pump,2013-04-19,12,UltraMed,Model-500,Italy,4652.4437571479,1.2801947406061618,1,6,1,software crash caused operational delay; firmware update initiated. quick fix routine reset,105120,12,17520.0,0.044258407126597225,1.0,Medium Risk,1
MD05283,Infusion Pump,2015-07-06,10,ScanPro,Model-400,Canada,11477.790129537125,28.126115732052416,2,2,3,System performance degraded due to abnormal sound; mitigation via software patch. critical failure system crash,87600,12,43800.0,0.1310250014787343,0.8333333333333334,Medium Risk,1
MD00470,Infusion Pump,2016-01-09,9,MedEquip,Model-250,Canada,16466.82385358648,15.022196764905758,4,3,3,abnormal sound caused operational delay; system reset initiated. critical failure sensor replacement,78840,12,26280.0,0.208863823612208,0.75,Medium Risk,1
MD04651,Infusion Pump,2013-05-26,12,CardioSync,Model-300,Italy,5746.950329007973,3.814378207817184,1,2,2,Routine check completed; abnormal sound observed during diagnostics. component issue driver update applied,105120,12,52560.0,0.05467037984216108,1.0,Medium Risk,1
MD03730,CT Scanner,2021-08-23,4,UltraMed,Model-150,Canada,5866.49269989545,10.141096466224516,5,5,2,Component recalibration after detecting abnormal sound; functionality restored. moderate delay non-critical warning,35040,12,7008.0,0.16742273686916237,0.3333333333333333,Medium Risk,1
MD00221,Defibrillator,2015-06-19,10,ImagingTech,Model-600,USA,11575.62371775112,4.51309473018771,1,0,3,Component inspection after detecting sensor misalignment; functionality restored. data loss hardware fault,87600,12,26280.0,0.13214182326199908,0.8333333333333334,Low Risk,0
MD02683,PET Scanner,2013-10-11,12,RescueTech,Model-400,Canada,10395.814771657388,9.539004129068434,5,2,2,Component software patch after detecting software crash; functionality restored. driver update performance warning,105120,12,52560.0,0.09889473717330087,1.0,Medium Risk,1
MD04140,Defibrillator,2021-12-19,4,MedEquip,Model-250,USA,-4029.47804509436,18.898837632894075,2,3,2,System performance degraded due to battery wear; mitigation via software patch. component issue performance warning,35040,12,11680.0,-0.11499651955177968,0.3333333333333333,Medium Risk,1
MD01263,X-Ray Machine,2020-05-03,5,ImagingTech,Model-350,Italy,17805.19344058449,22.081501513625888,1,4,3,Routine check completed; voltage spike observed during diagnostics. sensor replaced hardware fault,43800,12,10950.0,0.4065112657667692,0.4166666666666667,High Risk,2
MD03472,MRI Scanner,2016-06-06,9,RescueTech,Model-450,Italy,4529.8299023315285,10.27554267133331,4,2,1,System performance degraded due to software crash; mitigation via component upgrade. minor issue routine reset,78840,12,39420.0,0.05745598556990777,0.75,Medium Risk,1
MD01058,MRI Scanner,2024-01-03,1,UltraMed,Model-100,Canada,2074.738063609984,12.947964392706576,1,2,2,Component component upgrade after detecting data lag; functionality restored. reviewed logs average severity report,8760,12,4380.0,0.23684224470433604,0.08333333333333333,Medium Risk,1
MD01159,PET Scanner,2015-06-22,10,ImagingTech,Model-550,France,16334.707882864735,4.129872151989735,5,2,3,circuit failure caused operational delay; firmware update initiated. reboot failed sensor replacement,87600,12,43800.0,0.18646926806923214,0.8333333333333334,Medium Risk,1
MD04569,CT Scanner,2014-02-04,11,RescueTech,Model-150,UK,12162.64965122302,10.301239978160323,3,1,2,System performance degraded due to sensor misalignment; mitigation via recalibration. component issue performance warning,96360,12,96360.0,0.12622093868018908,0.9166666666666666,Medium Risk,1
MD03722,MRI Scanner,2020-03-01,5,UltraMed,Model-200,Japan,2300.7574691451805,6.864568142899037,5,2,2,System performance degraded due to circuit failure; mitigation via firmware update. reviewed logs component review,43800,12,21900.0,0.05252870934121417,0.4166666666666667,Medium Risk,1
MD00897,Infusion Pump,2014-06-09,11,CardioSync,Model-350,Canada,9622.842207703126,4.418182712994861,3,1,2,Component software patch after detecting sensor misalignment; functionality restored. moderate delay component review,96360,12,96360.0,0.09986345171962564,0.9166666666666666,Medium Risk,1
MD01604,CT Scanner,2014-12-21,11,RescueTech,Model-250,Japan,23382.11936178163,8.530860023034474,4,3,3,abnormal sound caused operational delay; recalibration initiated. sensor replaced critical failure,96360,12,32120.0,0.24265379163326725,0.9166666666666666,Medium Risk,1
MD04216,Defibrillator,2015-06-27,10,RescueTech,Model-150,Japan,18889.92957724488,21.78339439958917,3,2,3,voltage spike caused operational delay; recalibration initiated. sensor replaced high priority failure,87600,12,43800.0,0.215638465493663,0.8333333333333334,Medium Risk,1
MD04990,CT Scanner,2017-05-16,8,CardioSync,Model-150,UK,11026.857317489474,4.745362634830801,3,0,2,Routine check completed; battery wear observed during diagnostics. moderate delay device required inspection,70080,12,26280.0,0.1573467082975096,0.6666666666666666,Low Risk,0
MD05042,Defibrillator,2018-11-01,7,MedEquip,Model-400,Japan,15720.7164048389,15.788287973124852,1,4,3,software crash caused operational delay; component upgrade initiated. reboot failed emergency shutdown,61320,12,15330.0,0.25637176133135847,0.5833333333333334,High Risk,2
MD00230,X-Ray Machine,2014-09-28,11,ImagingTech,Model-400,Japan,5644.586091258208,9.446100989468016,1,4,1,sensor misalignment caused operational delay; component upgrade initiated. software reset quick fix,96360,12,24090.0,0.05857810389433591,0.9166666666666666,Medium Risk,1
MD03786,Infusion Pump,2019-09-08,6,RescueTech,Model-400,Japan,7277.974200407971,15.63652269627765,3,2,2,Routine check completed; circuit failure observed during diagnostics. moderate delay non-critical warning,52560,12,26280.0,0.13846982877488528,0.5,Medium Risk,1
MD01923,MRI Scanner,2020-07-14,5,MedEquip,Model-500,Japan,8853.413874549367,5.830682947041567,3,0,3,System performance degraded due to battery wear; mitigation via software patch. critical failure urgent inspection needed,43800,12,26280.0,0.2021327368618577,0.4166666666666667,Low Risk,0
MD04803,X-Ray Machine,2019-07-22,6,ScanPro,Model-600,UK,11719.25772837459,24.393621126270983,2,1,3,System performance degraded due to software crash; mitigation via recalibration. data loss critical malfunction,52560,12,52560.0,0.22296913486253025,0.5,Medium Risk,1
MD03015,X-Ray Machine,2014-03-18,11,MedEquip,Model-100,UK,6334.758576944548,6.631078360772714,1,1,1,Routine check completed; sensor misalignment observed during diagnostics. software reset quick fix,96360,12,96360.0,0.06574054147929169,0.9166666666666666,Medium Risk,1
MD03630,PET Scanner,2014-04-07,11,UltraMed,Model-650,USA,11650.94951919943,2.487703902879131,4,1,2,System performance degraded due to battery wear; mitigation via inspection. reviewed logs average severity report,96360,12,96360.0,0.12091064258197831,0.9166666666666666,Medium Risk,1
MD03481,CT Scanner,2023-01-27,2,MedEquip,Model-200,USA,4318.752192570821,3.2251715693105165,5,4,1,Routine check completed; abnormal sound observed during diagnostics. log cleaned stable condition,17520,12,4380.0,0.2465041205805263,0.16666666666666666,Medium Risk,1
MD04753,Defibrillator,2013-09-02,12,RescueTech,Model-450,Canada,14158.52145029979,15.113065556390788,4,2,2,System performance degraded due to circuit failure; mitigation via component upgrade. moderate delay non-critical warning,105120,12,52560.0,0.13468913099600258,1.0,Medium Risk,1
MD01841,MRI Scanner,2022-01-08,3,CardioSync,Model-350,France,-2870.621368848694,18.532778025603896,4,4,3,System performance degraded due to abnormal sound; mitigation via software patch. critical failure sensor replacement,26280,12,6570.0,-0.10923216776440997,0.25,Medium Risk,1
MD02320,Infusion Pump,2018-02-08,7,UltraMed,Model-400,USA,11634.804496405004,17.341462630727552,1,2,2,System performance degraded due to overheating; mitigation via inspection. component issue component review,61320,12,30660.0,0.18973914703856823,0.5833333333333334,Medium Risk,1
MD01888,X-Ray Machine,2017-10-12,8,UltraMed,Model-350,Italy,4924.658305550738,8.70108522661261,5,1,2,System performance degraded due to battery wear; mitigation via system reset. component issue driver update applied,70080,12,70080.0,0.07027195070705962,0.6666666666666666,Medium Risk,1
MD05377,PET Scanner,2022-03-19,3,CardioSync,Model-400,Canada,6738.035748496727,8.444065874697953,2,0,2,Routine check completed; overheating observed during diagnostics. component issue performance warning,26280,12,26280.0,0.2563940543568009,0.25,Low Risk,0
MD03809,PET Scanner,2022-12-19,3,UltraMed,Model-150,USA,2971.3306893738336,9.115657645626912,2,1,1,Component software patch after detecting abnormal sound; functionality restored. log cleaned minor issue,26280,12,26280.0,0.11306433369002411,0.25,Medium Risk,1
MD00933,CT Scanner,2021-03-15,4,ScanPro,Model-300,Italy,7207.636887425017,3.139780672568005,4,0,1,Routine check completed; data lag observed during diagnostics. software reset log file cleared,35040,12,26280.0,0.20569739975528017,0.3333333333333333,Low Risk,0
MD05149,PET Scanner,2018-10-03,7,ScanPro,Model-300,France,14544.674940326177,11.628868189754009,4,1,3,System performance degraded due to circuit failure; mitigation via firmware update. data loss critical malfunction,61320,12,61320.0,0.23719300294074,0.5833333333333334,Medium Risk,1
MD00565,Infusion Pump,2024-01-04,1,ScanPro,Model-350,UK,19405.605829894463,3.620264958203778,5,4,2,Routine check completed; circuit failure observed during diagnostics. driver update device required inspection,8760,12,2190.0,2.215251807065578,0.08333333333333333,High Risk,2
MD05227,X-Ray Machine,2015-12-08,10,ScanPro,Model-400,France,17507.44895618462,28.99646527970384,2,1,3,Component system reset after detecting overheating; functionality restored. data loss high priority failure,87600,12,87600.0,0.19985672324411666,0.8333333333333334,Medium Risk,1
MD04795,MRI Scanner,2020-02-11,5,ScanPro,Model-350,Japan,9125.90821648284,4.257440497913889,2,1,3,Component system reset after detecting data lag; functionality restored. sensor replaced hardware fault,43800,12,43800.0,0.20835406886947122,0.4166666666666667,Medium Risk,1
MD02806,CT Scanner,2013-09-09,12,MedEquip,Model-150,Italy,22352.812288902525,17.99113237193198,4,1,3,System performance degraded due to overheating; mitigation via inspection. critical failure urgent inspection needed,105120,12,105120.0,0.21264090837997074,1.0,Medium Risk,1
MD05307,Defibrillator,2015-03-20,10,CardioSync,Model-350,France,13828.384230812344,4.633166353909719,1,1,2,Routine check completed; sensor misalignment observed during diagnostics. reviewed logs device required inspection,87600,12,87600.0,0.15785826747502676,0.8333333333333334,Medium Risk,1
MD05433,X-Ray Machine,2021-05-29,4,MedEquip,Model-550,UK,9162.314136556704,10.997802548814112,5,1,2,Routine check completed; sensor misalignment observed during diagnostics. moderate delay component review,35040,12,35040.0,0.26148156782410686,0.3333333333333333,Medium Risk,1
MD01772,X-Ray Machine,2023-09-10,2,UltraMed,Model-400,Japan,6772.181101601191,22.09030236672113,3,3,3,System performance degraded due to circuit failure; mitigation via software patch. reboot failed urgent inspection needed,17520,12,5840.0,0.38654001721467984,0.16666666666666666,Medium Risk,1
MD04832,X-Ray Machine,2019-08-01,6,RescueTech,Model-250,USA,16479.84038695522,15.2849887627845,3,2,2,Component firmware update after detecting overheating; functionality restored. reviewed logs component review,52560,12,26280.0,0.3135433863575955,0.5,Medium Risk,1
MD05427,CT Scanner,2019-02-16,6,RescueTech,Model-550,Italy,9024.764901468088,17.697237007197305,5,0,2,Component firmware update after detecting data lag; functionality restored. moderate delay component review,52560,12,26280.0,0.17170405063675967,0.5,Low Risk,0
MD00080,Infusion Pump,2019-11-09,6,RescueTech,Model-300,France,13789.806261501251,13.58002340475424,3,3,3,battery wear caused operational delay; software patch initiated. sensor replaced critical malfunction,52560,12,17520.0,0.26236313282917145,0.5,High Risk,2
MD04512,Infusion Pump,2016-03-09,9,ScanPro,Model-250,France,2141.691878097283,3.706607973613469,5,6,1,sensor misalignment caused operational delay; replacement initiated. minor issue low priority fault,78840,12,13140.0,0.027165041579113175,0.75,Medium Risk,1
MD04156,PET Scanner,2016-04-15,9,MedEquip,Model-150,Italy,5932.900871069535,6.399461225041633,4,0,1,System performance degraded due to voltage spike; mitigation via replacement. log cleaned temporary glitch,78840,12,26280.0,0.07525242099276427,0.75,Low Risk,0
MD02115,Defibrillator,2023-07-03,2,CardioSync,Model-100,UK,21444.04050049261,25.07781593508109,1,4,3,Component recalibration after detecting voltage spike; functionality restored. sensor replaced critical failure,17520,12,4380.0,1.2239749144116787,0.16666666666666666,High Risk,2
MD02564,Infusion Pump,2018-10-27,7,MedEquip,Model-150,France,5103.31183569976,6.33233393890682,2,2,1,battery wear caused operational delay; firmware update initiated. software reset temporary glitch,61320,12,30660.0,0.08322426346542336,0.5833333333333334,Medium Risk,1
MD03316,CT Scanner,2022-06-03,3,ScanPro,Model-450,Italy,7289.155341818718,13.079676832169296,5,2,2,Routine check completed; data lag observed during diagnostics. component issue moderate delay,26280,12,13140.0,0.27736511955170157,0.25,Medium Risk,1
MD02510,Defibrillator,2013-08-16,12,RescueTech,Model-350,USA,4546.456966906911,8.783053959556678,5,1,1,Routine check completed; abnormal sound observed during diagnostics. minor issue stable condition,105120,12,105120.0,0.04325016140512662,1.0,Medium Risk,1
MD00595,CT Scanner,2017-10-17,8,ScanPro,Model-650,France,18876.641467534613,8.19227983152097,5,2,3,Component inspection after detecting circuit failure; functionality restored. critical failure sensor replacement,70080,12,35040.0,0.2693584684294323,0.6666666666666666,Medium Risk,1
MD00998,X-Ray Machine,2015-10-12,10,ScanPro,Model-250,France,16559.69531534814,3.677325307060562,3,2,3,System performance degraded due to abnormal sound; mitigation via component upgrade. reboot failed urgent inspection needed,87600,12,43800.0,0.18903761775511577,0.8333333333333334,Medium Risk,1
MD00070,Defibrillator,2013-11-10,12,ImagingTech,Model-600,USA,9474.869017044675,4.96110203276282,3,1,3,Component system reset after detecting overheating; functionality restored. critical failure critical failure,105120,12,105120.0,0.09013383768117081,1.0,Medium Risk,1
MD02206,CT Scanner,2018-08-12,7,ImagingTech,Model-150,USA,5038.772392137063,8.549241716558791,4,3,2,Routine check completed; software crash observed during diagnostics. component issue component review,61320,12,20440.0,0.08217176112421826,0.5833333333333334,Medium Risk,1
MD03606,Infusion Pump,2017-06-07,8,UltraMed,Model-100,Japan,19464.08743339613,25.993716398354028,4,5,3,System performance degraded due to voltage spike; mitigation via component upgrade. critical failure emergency shutdown,70080,12,14016.0,0.2777409736500589,0.6666666666666666,High Risk,2
MD04413,CT Scanner,2017-11-20,8,UltraMed,Model-450,Italy,4797.843403618047,5.842774238832565,2,3,1,software crash caused operational delay; replacement initiated. minor issue stable condition,70080,12,23360.0,0.0684623773347324,0.6666666666666666,Medium Risk,1
MD04946,CT Scanner,2017-06-16,8,ScanPro,Model-450,USA,6224.110757411303,3.243340963167898,1,2,1,Routine check completed; battery wear observed during diagnostics. software reset minor issue,70080,12,35040.0,0.08881436583064074,0.6666666666666666,Medium Risk,1
MD03526,X-Ray Machine,2014-04-08,11,ScanPro,Model-150,UK,7200.179322370132,2.781601990968573,5,2,2,overheating caused operational delay; inspection initiated. component issue component review,96360,12,48180.0,0.07472166170994325,0.9166666666666666,Medium Risk,1
MD02036,MRI Scanner,2023-11-26,2,CardioSync,Model-400,USA,11977.728697800238,9.702260179428473,4,3,2,Component inspection after detecting sensor misalignment; functionality restored. reviewed logs average severity report,17520,12,5840.0,0.6836603138013834,0.16666666666666666,High Risk,2
MD00263,CT Scanner,2015-02-09,10,MedEquip,Model-200,Japan,4767.411092453401,3.1962800234011546,5,1,1,overheating caused operational delay; firmware update initiated. minor issue low priority fault,87600,12,87600.0,0.05442250105540412,0.8333333333333334,Medium Risk,1
MD02443,PET Scanner,2019-03-04,6,MedEquip,Model-400,France,15154.620222028152,16.03530851430147,2,0,3,sensor misalignment caused operational delay; firmware update initiated. critical failure critical failure,52560,12,26280.0,0.288329912900079,0.5,Low Risk,0
MD00331,X-Ray Machine,2021-08-01,4,ImagingTech,Model-600,UK,222.55087313630327,10.99375342117369,5,3,3,Component system reset after detecting software crash; functionality restored. sensor replaced system crash,35040,12,11680.0,0.006351337703661623,0.3333333333333333,Medium Risk,1
MD05073,MRI Scanner,2019-11-15,6,RescueTech,Model-200,France,5131.530467869399,2.2883413310697875,3,1,1,Component system reset after detecting overheating; functionality restored. minor issue temporary glitch,52560,12,52560.0,0.09763185821669329,0.5,Medium Risk,1
MD05382,MRI Scanner,2015-11-28,10,ImagingTech,Model-250,USA,4899.676610717717,4.35325978801784,3,2,2,Routine check completed; sensor misalignment observed during diagnostics. reviewed logs driver update applied,87600,12,43800.0,0.05593238140088718,0.8333333333333334,Medium Risk,1
MD04600,X-Ray Machine,2018-02-07,7,UltraMed,Model-450,France,2404.941843323438,3.766779019787135,4,1,1,Routine check completed; software crash observed during diagnostics. log cleaned low priority fault,61320,12,61320.0,0.039219534300773615,0.5833333333333334,Medium Risk,1
MD02412,Defibrillator,2013-06-10,12,CardioSync,Model-500,Canada,12203.038336756264,14.360436561340403,5,2,2,Routine check completed; software crash observed during diagnostics. moderate delay driver update applied,105120,12,52560.0,0.11608674216853372,1.0,Medium Risk,1
MD03754,CT Scanner,2013-04-23,12,CardioSync,Model-150,UK,1613.3218909599943,2.009584415760856,3,1,2,Routine check completed; abnormal sound observed during diagnostics. moderate delay non-critical warning,105120,12,105120.0,0.015347430469558545,1.0,Medium Risk,1
MD03047,Infusion Pump,2017-03-12,8,RescueTech,Model-400,Japan,4111.250103342816,1.177482419097249,5,2,1,Component inspection after detecting voltage spike; functionality restored. quick fix log file cleared,70080,12,35040.0,0.05866509850660411,0.6666666666666666,Medium Risk,1
MD00453,MRI Scanner,2014-12-10,11,ScanPro,Model-450,Italy,13040.983824450315,12.64951592658336,2,1,2,System performance degraded due to battery wear; mitigation via software patch. reviewed logs component review,96360,12,96360.0,0.13533607123754998,0.9166666666666666,Medium Risk,1
MD05449,CT Scanner,2015-09-17,10,ScanPro,Model-350,Canada,7372.198766063978,1.0687052673427646,4,1,1,Component recalibration after detecting sensor misalignment; functionality restored. log cleaned system check passed,87600,12,87600.0,0.0841575201605477,0.8333333333333334,Medium Risk,1
MD01932,Infusion Pump,2018-12-23,7,CardioSync,Model-200,Canada,5285.418641149553,4.1935129103543005,4,4,1,System performance degraded due to overheating; mitigation via system reset. log cleaned log file cleared,61320,12,15330.0,0.08619404176695292,0.5833333333333334,Medium Risk,1
MD00298,MRI Scanner,2022-08-13,3,RescueTech,Model-500,France,5886.006700251352,7.84014260484546,5,1,2,Routine check completed; circuit failure observed during diagnostics. moderate delay average severity report,26280,12,26280.0,0.22397285769601796,0.25,Medium Risk,1
MD04849,Infusion Pump,2023-02-28,2,RescueTech,Model-650,UK,6456.473164996212,6.651505066429558,5,1,1,Routine check completed; voltage spike observed during diagnostics. software reset minor issue,17520,12,17520.0,0.3685201578194185,0.16666666666666666,Medium Risk,1
MD02027,X-Ray Machine,2016-09-23,9,MedEquip,Model-200,USA,10060.78625167174,9.159299097660844,1,4,3,Component software patch after detecting voltage spike; functionality restored. critical failure critical malfunction,78840,12,19710.0,0.1276101756934518,0.75,Medium Risk,1
MD03777,CT Scanner,2018-01-01,7,ScanPro,Model-550,France,3049.3895368234607,6.575517796779448,4,2,1,data lag caused operational delay; replacement initiated. quick fix quick fix,61320,12,30660.0,0.04972911834350066,0.5833333333333334,Medium Risk,1
MD04748,X-Ray Machine,2018-01-11,7,RescueTech,Model-300,Italy,1776.476840130665,1.653776202732463,4,1,1,Routine check completed; abnormal sound observed during diagnostics. minor issue minor issue,61320,12,61320.0,0.028970594261752528,0.5833333333333334,Medium Risk,1
MD03381,PET Scanner,2017-11-19,8,ScanPro,Model-350,UK,2976.048333142032,23.74666688124584,5,2,3,Component replacement after detecting circuit failure; functionality restored. reboot failed emergency shutdown,70080,12,35040.0,0.042466443109903426,0.6666666666666666,Medium Risk,1
MD00562,X-Ray Machine,2022-11-09,3,UltraMed,Model-200,France,13329.777970745958,16.02128876068711,5,3,2,data lag caused operational delay; component upgrade initiated. driver update device required inspection,26280,12,8760.0,0.5072213839705463,0.25,High Risk,2
MD03692,Defibrillator,2016-05-10,9,ScanPro,Model-100,Canada,8037.101119622595,14.596170412654038,3,4,2,Routine check completed; data lag observed during diagnostics. component issue moderate delay,78840,12,19710.0,0.10194192186228558,0.75,Medium Risk,1
MD04383,CT Scanner,2018-12-26,7,RescueTech,Model-650,USA,14758.920027015936,11.990838172900297,1,1,2,Routine check completed; abnormal sound observed during diagnostics. moderate delay driver update applied,61320,12,61320.0,0.24068688889458473,0.5833333333333334,Medium Risk,1
MD00880,Infusion Pump,2015-11-28,10,ScanPro,Model-150,Canada,5593.711052172058,3.8612421790552456,5,0,1,Component replacement after detecting software crash; functionality restored. log cleaned temporary glitch,87600,12,26280.0,0.06385514899739791,0.8333333333333334,Low Risk,0
MD00334,MRI Scanner,2023-02-07,2,ScanPro,Model-150,France,19083.56271923639,14.008861796291455,3,1,3,System performance degraded due to abnormal sound; mitigation via system reset. reboot failed high priority failure,17520,12,17520.0,1.0892444474449994,0.16666666666666666,High Risk,2
MD00316,Infusion Pump,2021-12-27,4,ImagingTech,Model-200,USA,7296.009171192629,10.27409518231752,1,1,2,Routine check completed; software crash observed during diagnostics. moderate delay performance warning,35040,12,35040.0,0.20821943981714122,0.3333333333333333,Medium Risk,1
MD01765,X-Ray Machine,2015-09-27,10,MedEquip,Model-100,Italy,4611.009016594749,8.693220799057146,1,1,1,System performance degraded due to data lag; mitigation via recalibration. software reset system check passed,87600,12,87600.0,0.05263708923053366,0.8333333333333334,Medium Risk,1
MD05402,CT Scanner,2021-01-05,4,MedEquip,Model-400,USA,7984.378980628787,6.135944551129333,5,2,1,Routine check completed; software crash observed during diagnostics. quick fix stable condition,35040,12,17520.0,0.22786469693575304,0.3333333333333333,Medium Risk,1
